tokenId,top_tokens
138,"[181, 597, 2760, 2517, 2928, 2946, 12483, 2947, 17873, 17521, 17563, 16253, 11758, 14905, 13577, 13163, 9722, 15013, 9605, 10025, 7025, 9084, 15787, 10489, 12072, 14082, 12277, 10932, 19776, 12734]"
139,"[1738, 9827, 2951, 13272, 12776, 1410, 10728, 10513, 14969, 7873, 112, 8093, 3877, 8307, 12328, 11966, 2423, 17627, 5199, 7451, 1724, 12973, 7816, 75, 10525, 10501, 5801, 9434, 9105, 9566]"
140,"[7645, 7402, 8506, 2717, 7500, 19177, 15002, 7267, 15490, 12747, 16982, 9720, 21911, 11382, 9303, 7507, 9975, 19803, 20305, 19791, 21613, 6914, 583, 9031, 4372, 9760, 21291, 172, 11311, 14489]"
143,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
145,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
147,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
148,"[1567, 899, 2998, 9404, 811, 5334, 3454, 173, 533, 10611, 9626, 13158, 3646, 6144, 3647, 4974, 10818, 16200, 3034, 7509, 1409, 6661, 17314, 14595, 14715, 11116, 14652, 13929, 16760, 12897]"
150,"[7775, 7857, 7825, 8417, 9603, 10872, 11758, 9722, 1764, 510, 18799, 17398, 10489, 12734, 8232, 10030, 18948, 10563, 7238, 10932, 11487, 8234, 12429, 14905, 5233, 13695, 21038, 12483, 14186, 15116]"
151,"[1243, 882, 555, 1197, 10190, 2218, 10841, 4990, 772, 1137, 10945, 1458, 20234, 16237, 3885, 2119, 8571, 912, 1319, 5817, 15733, 9051, 16159, 2261, 2752, 3320, 6549, 1329, 18522, 14057]"
155,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
